COUNT    | LINE
-----------------------------------------------------
      86 | Bangalore
      53 | Gurgaon
      38 | Paris
      26 | Santa Monica
      26 | Waltham
      23 | Amsterdam
      19 | Noida
      18 | Pleasanton
      16 | Bellevue
      15 | Dublin
      15 | Stockholm
      14 | Hyderabad
      14 | Plano
      13 | Berlin
      13 | Oakland
      13 | Reston
      12 | Arlington
      12 | McLean
      12 | Tel Aviv
      11 | Boulder
      11 | Milpitas
      11 | Munich
      11 | Ottawa
      11 | Santa Barbara
      11 | St. Louis
      11 | Stamford
      10 | Calgary
      10 | Pune
       9 | Chennai
       9 | Helsinki
       9 | Irving
       9 | Jaipur
       9 | Singapore
       9 | Wilmington
       9 | Zurich
       8 | Ann Arbor
       8 | Bengaluru
       8 | Bethesda
       8 | Boca Raton
       8 | Durham
       8 | Eden Prairie
       8 | Foster City
       8 | Greenwood Village
       8 | Lehi
       8 | Luxembourg
       8 | Milwaukee
       8 | Mississauga
       8 | Troy
       7 | Culver City
       7 | Detroit
       7 | El Segundo
       7 | Emeryville
       7 | Framingham
       7 | Memphis
       7 | Morrisville
       6 | Basel
       6 | Berkshire
       6 | Bloomington
       6 | Brookfield
       6 | Columbia
       6 | Dubai
       6 | Englewood
       6 | Itasca
       6 | Lexington
       6 | Madison
       6 | Minato-ku
       6 | Needham
       6 | Newport Beach
       6 | Norwalk
       6 | Princeton
       6 | Richmond
       6 | San Ramon
       6 | St. Paul
       5 | Addison
       5 | Alameda
       5 | Boise
       5 | Brentwood
       5 | Burlingame
       5 | Carlsbad
       5 | Chiyoda-ku
       5 | Edinburgh
       5 | Madrid
       5 | Melville
       5 | Minnetonka
       5 | Newark
       5 | Oklahoma City
       5 | Overland Park
       5 | Parsippany
       5 | Pasadena
       5 | Providence
       5 | Radnor
       5 | South Jordan
       5 | Tempe
       5 | The Woodlands
       5 | Venice
       5 | Waterloo
       5 | Westborough
       4 | Aliso Viejo
       4 | Alpharetta
       4 | Barcelona
       4 | Beverly Hills
       4 | Brussels
       4 | Charleston
       4 | Chattanooga
       4 | Cologne
       4 | Copenhagen
       4 | Costa Mesa
       4 | Deerfield
       4 | Dublin 1
       4 | Eagan
       4 | Espoo
       4 | Falls Church
       4 | Frankfurt
       4 | Gainesville
       4 | Hanover
       4 | Hartford
       4 | Herndon
       4 | Knoxville
       4 | Long Island City
       4 | Manchester
       4 | Natick
       4 | Navi Mumbai
       4 | Northbrook
       4 | Orem
       4 | Provo
       4 | Redwood Shores
       4 | Rochester
       4 | Rockville
       4 | Saint Louis
       4 | San Bruno
       4 | Schaumburg
       4 | Shenzhen
       4 | South San Francisco
       4 | St. Petersburg
       4 | Sunrise
       4 | West Chester
       3 | Aurora
       3 | Baar
       3 | Baltimore
       3 | Basking Ridge
       3 | Bedford
       3 | Beijing
       3 | Berkeley
       3 | Broomfield
       3 | Buckinghamshire
       3 | Calabasas
       3 | Carpinteria
       3 | Carrollton
       3 | Cary
       3 | Chandler
       3 | Chelmsford
       3 | Dayton
       3 | Des Moines
       3 | Draper
       3 | Fairfax
       3 | Farmington
       3 | Frisco
       3 | Gaithersburg
       3 | Ghent
       3 | Grand Rapids
       3 | Greenville
       3 | Greenwich
       3 | Hamilton
       3 | Hoffman Estates
       3 | Horsham
       3 | Huntsville
       3 | Jersey
       3 | Jersey City
       3 | Lake Forest
       3 | Little Rock
       3 | Los Altos
       3 | Los Gatos
       3 | Mahwah
       3 | Milano
       3 | Milford
       3 | MontrÌ©al
       3 | Moscow
       3 | New York City
       3 | Newton
       3 | Norfolk
       3 | Oslo
       3 | Petach Tikva
       3 | Plymouth Meeting
       3 | Purchase
       3 | Ramat Gan
       3 | Redwood
       3 | Richmond Hill
       3 | Rye Brook
       3 | Sarasota
       3 | Somerville
       3 | Sterling
       3 | Surrey
       3 | Surry Hills
       3 | Thousand Oaks
       3 | Tokyo
       3 | Torrance
       3 | Tysons Corner
       3 | West Hollywood
       3 | West Montreal
       3 | Wichita
       3 | Wilsonville
       3 | Winston-Salem
       3 | York
       3 | Zug
       2 | A CoruÌ±a
       2 | Ahmedabad
       2 | Akron
       2 | Albany
       2 | Alexandria
       2 | Allentown
